Creditability;Account_Balance;Duration_of_Credit_monthly;Payment_Status_of_Previous_Credit;Purpose;Credit_Amount;Value_Savings_Stocks;Length_of_current_employment;Instalment_per_cent;Sex_Marital_Status;Guarantors;Duration_in_Current_address;Most_valuable_available_asset;Age_years;Concurrent_Credits;Type_of_apartment;No_of_Credits_at_this_Bank;Occupation;No_of_dependents;Telephone;Foreign_Worker;Relative_Credit_Amount
1;2;48;2.0;3.0;3979;5;4;4;2.0;0.0;1;3;41;3;1.0;2;2.0;2;1.0;0.0;1989.5
1;4;21;4.0;2.0;2288;1;2;4;1.0;0.0;4;2;23;3;1.0;1;2.0;1;1.0;0.0;572.0
1;4;24;3.0;8.0;3863;1;3;1;2.0;0.0;2;4;32;3;2.0;1;2.0;1;0.0;0.0;965.75
1;2;16;4.0;0.0;1175;1;1;2;2.0;0.0;3;3;68;3;2.0;3;0.0;1;1.0;0.0;587.5
0;2;18;4.0;3.0;1245;1;3;4;3.0;0.0;2;3;33;3;1.0;1;2.0;1;0.0;0.0;622.5
0;4;12;4.0;3.0;797;5;5;4;1.0;0.0;3;2;33;3;1.0;1;1.0;2;0.0;0.0;199.25
1;4;24;3.0;0.0;717;5;5;4;3.0;0.0;4;3;54;3;1.0;2;2.0;1;1.0;0.0;179.25
0;1;36;2.0;2.0;3446;1;5;4;2.0;0.0;2;3;42;3;1.0;1;2.0;2;0.0;0.0;3446.0
0;1;16;4.0;0.0;2625;1;5;2;2.0;2.0;4;2;43;3;0.0;1;2.0;1;1.0;1.0;2625.0
1;4;6;4.0;0.0;362;2;3;4;1.0;0.0;4;3;52;3;1.0;2;1.0;1;0.0;0.0;90.5
1;1;30;0.0;2.0;4583;1;3;2;0.0;2.0;2;1;32;3;1.0;2;2.0;1;0.0;0.0;4583.0
1;4;4;4.0;3.0;1503;1;4;2;2.0;0.0;1;1;42;3;1.0;2;1.0;2;0.0;0.0;375.75
0;1;24;2.0;2.0;2359;2;1;1;0.0;0.0;1;2;33;3;1.0;1;2.0;1;0.0;0.0;2359.0
1;2;30;4.0;0.0;2181;5;5;4;2.0;0.0;4;1;36;3;1.0;2;2.0;1;0.0;0.0;1090.5
1;4;36;2.0;1.0;4686;1;3;2;2.0;0.0;2;4;32;3;2.0;1;3.0;1;1.0;0.0;1171.5
